%dict_expr_name%
77,Morganella morganii subsp. Morganii,摩根摩根菌摩根亚种
78,Morganella morganii subsp. Sibonii,摩根摩根菌西伯尼亚种
79,Morganella morganii biogroup 1,摩根摩根菌生物1群
80,Obesumbacterium proteus biogroup 2,变形肥杆菌生物2群
81,Pantoea spp,泛菌属
82,Pantoea agglomerans,无中文名
83,Pantoea dispersa,分散泛菌
84,Photorhabdus spp,光杆菌属
85,Photorhabdus luminescens,发光光杆菌
86,Photorhabdus DNA hybridization group 5,Photorhabdus asymbiotia
87,Pragia fontium,泉居布拉格菌
88,Proteus spp,变形杆菌属
89,Proteus vulgaris,普通变形杆菌
90,Proteus mirabilis,奇异变形杆菌
91,Proteus myxofaciens,产黏液变形杆菌
92,Proteus penneri,潘尼变形杆菌
93,Providencia spp,普罗威登斯菌属
94,Providencia alcalifaciens,产碱普罗威登斯菌
95,Providencia heimbachae,海氏普罗威登斯菌
96,Providencia rettgeri,雷氏普罗威登斯菌
97,Providencia rustigianii,拉氏普罗威登斯菌
98,Providencia stuarlii,斯氏普罗威登斯菌
99,Rahnella aquatilis,水生拉恩菌
100,Salmonella spp,沙门氏菌属
101,Salmonella bongori,邦戈尔沙门氏菌
102,Salmonella enterica subsp. Enterica,肠道沙门氏菌 Ⅰ
103,Salmonella enterica subsp.arizonae,亚利桑那沙门氏菌 Ⅲa
104,Salmonella enterica subsp.diarizonae,双相亚利桑那沙门氏菌 Ⅲb
105,Salmonella enterica subsp.houtenae,豪顿沙门氏菌 Ⅳ
106,Salmonella enterica subsp.indica,印度沙门氏菌 Ⅴ
107,Salmonella enterica subsp.salamae,萨拉姆沙门氏菌 Ⅱ
108,Salmonella serovar choleraesuis ,猪霍乱沙门氏菌
109,Salmonella serovar Gallinarum,鸡伤寒沙门氏菌
110,Salmonella serovar paratyphi A,甲型副伤寒沙门氏菌
111,Salmonella serovar pullorum,鸡白痢沙门氏菌
112,Salmonella serovar typhi,伤寒沙门氏菌
113,Serratia spp,沙雷氏菌属
114,Serratia marcescens,粘质沙雷氏菌
115,Serratia entomophila,嗜虫沙雷氏菌
116,Serratia ficaria,无花果沙雷氏菌
117,Serratia fonticola,居泉沙雷氏菌
118,Serratia liquefaciens,液化沙雷氏菌
119,Serratia marcescens biogroup 1,粘质沙雷氏菌生物1群
120,Serratia odorifera biogroup 1,气味沙雷氏菌生物1群
121,Serratia odorifera biogroup 2,气味沙雷氏菌生物2群
122,Serratia plymuthica,普利茅斯沙雷氏菌
123,Serratia rubidaea,深红沙雷氏菌
124,Shigella spp,志贺氏菌属
125,Shigella dysenteriae,痢疾志贺氏菌 Group A
126,Shigella boydii,鲍氏志贺氏菌 Group C
127,Shigella flexneri ,弗氏志贺氏菌 Group B
128,Shigella sonnei,宋内志贺氏菌 Group D
129,Tatumella ptyseos,痰塔特姆菌
130,Trabulsiella guamensis,关岛特拉布斯菌
131,Xenorhabdus nematophilus,嗜线虫致病杆菌
132,Yersinia spp,耶尔森菌属
133,Yersinia pestis,鼠疫耶尔森菌
134,Yersinia aldovae,奥尔德瓦耶尔森菌
135,Yersinia bercovieri,波可望耶尔森菌
136,Yersinia enterocolitica,小肠结肠炎耶尔森菌
137,Yersinia frederiksenii,弗氏耶尔森菌
138,Yersinia intermedia,中间耶尔森菌
139,Yersinia kristensenii,克氏耶尔森菌
140,Yersinia mollaretii,莫拉莱耶尔森菌
141,Yersinia pseudotubercttlosis,假结核耶尔森菌
142,Yersinia rohdei,罗蒂耶尔森菌
143,Yersinia ruckeri,鲁氏耶尔森菌
144,Yokenella regensburgei(Koserella trabulsii),雷吉斯伯约克纳菌
145,Enteric Group 58,无中文名
146,Enteric Group 59,无中文名
147,Enteric Group 60,无中文名
148,Enteric Group 63,无中文名
149,Enteric Group 64,无中文名
150,Enteric Group 68,无中文名
151,Enteric Group 69,无中文名
152,Enteric Group 137,无中文名
%end%

#%dict_sele_name%
#7,Phe,苯丙氨酸脱氨
#47,Xyl,木糖
#41,Raf,棉子糖
#1,Ind,吲哚
#45,Suc,蔗糖
#10,Orn,鸟氨酸
#34,Lac,乳糖
#22,ONPG,ONPG
#6,Ure,尿酶
#4,Cit,柠檬酸盐
#35,Malt,麦芽糖
#8,Lys,赖氨酸
#14,Malo,丙二酸盐
#44,Sor,山梨醇
#30,Dul,卫矛醇
#27,Ara,阿拉伯糖
#38,Mel,蜜二糖
#42,Rha,鼠李糖
#15,Esc,七叶苷
#2,MR, MR
#5,H2S,H2S
#46,Tre,海藻糖
#29,Cel,纤维二糖
#%end%
%dict_sele_name%
41,Raf,棉子糖
45,Suc,蔗糖
